page,type,raw,translation,note
4,多义,loftier,更高远的；更宏大的,lofty 本句义：（目标）高远的；常见义：高耸的；也可贬义指高傲的
4,生词,replicate,复制；复现,指按同样方法重现（结果、成功），科研语境高频词
4,多义,accommodate large investments,容纳（大额资金）,accommodate 本句义：（策略）容纳得下资金规模；常见义：为…提供住处、迁就
4,多义,fleeting,转瞬即逝的,形容机会、时光短暂；与名词 fleet（舰队）同形异源
4,生词,endeavor,事业；尝试,正式书面语，指需要投入努力的事业或尝试；动词义为努力做
4,词组,here to stay,将长期存在；已站稳脚跟,习语：指新事物已被普遍接受、不会消失
4,生词,widely panned,广受抨击,pan 此处为口语动词：严厉批评、贬得一文不值（影评常用），非平底锅义
4,语法,nearly (but for the intervention of Federal Reserve banking officials and a consortium of Wall Street banks) brought the financial world to its knees,若非美联储官员和华尔街银行团出手干预，（LTCM）几乎让整个金融世界崩溃,but for＝若非、要不是（虚拟条件）；括号插入语打断 nearly brought；bring…to its knees 使…屈膝、崩溃
4,生词,consortium,财团；银行团,多家机构为共同目的临时组成的联合体，复数 consortia
4,生词,debacle,惨败；崩盘,法语借词，指溃败式的灾难性失败
4,难句,"The firm, which averaged 30 percent returns after fees for four years, lost nearly 100 percent of its capital in the debacle of August–October 1998 and left many investors both skeptical and afraid of quant traders.",这家公司此前连续四年费后年均回报30%，却在1998年8–10月的崩盘中亏掉了几乎全部资本，让许多投资人从此对量化交易员既怀疑又恐惧。,which 非限定性定语从句插入主谓之间；lost 与 left 并列谓语；leave sb + 形容词补语（both skeptical and afraid）
4,语法,"Never mind that it is debatable whether this was a quant trading failure or a failure of human judgment in risk management, nor that it’s questionable whether LTCM was even a quant trading firm at all.",且不说这究竟是量化交易的失败还是人为风险管理判断的失败本身就有争议，LTCM 到底算不算一家量化交易公司也同样存疑。,"Never mind that…, nor that…＝且不说…，也别提…；两个 that 从句内各嵌一个 whether 从句；at all 加强质疑语气"
4,生词,debatable,有争议的,debate + -able，指尚无定论、可以两说的；近义 questionable（存疑的）
4,词组,staffed by PhDs,人员由博士们组成,staff 作动词：为…配备人员；be staffed by/with 表人员构成
4,词组,guilty by association,连坐；因关联被视为有罪,习语：并非自身有过错，而是因与出事者同类或有关联而被牵连指责
4,生词,the eponymous quant liquidation of 2007,以量化为名的2007年清算事件,eponymous 指名称由某人某物而来的；此处指这场清算直接以 quant 命名（即量化大清算）
5,多义,posting a 6 percent loss,录得（6%的亏损）,post 本句义：公布、录得（业绩数字）；常见义：邮寄、张贴
5,多义,was down an estimated 40 percent,下跌了约40%,down 表下跌幅度；estimated 前置表示估计约为
5,生词,rebounded,反弹,re-（回）+ bound（弹跳）；指价格或业绩回升
5,词组,for the remainder of the month,在当月余下的时间里,remainder 剩余部分，比 rest 正式
5,词组,came to a head,（危机）总爆发；到达顶点,习语：原指脓疮出头，引申为矛盾积累到爆发点
5,词组,gaps in his logic large enough to drive an 18-wheeler through,他逻辑上的漏洞大得能开进一辆18轮大卡车,夸张习语：drive a truck through the gaps 形容漏洞极大；18-wheeler 指美式长途重型半挂卡车
5,词组,came into the public consciousness,进入公众视野,consciousness 意识；come into public consciousness 指开始被大众普遍知晓
5,术语,Flash Crash,闪电崩盘（2010年5月10日）,美股盘中约15分钟暴跌近7%、约1万亿美元市值蒸发后又迅速收复大半的事件；量化与高频交易因此广受指责
5,词组,various corners of the investment and trading world,投资界与交易界的各方人士,corner 引申义：领域中的圈子、角落，指来自四面八方的群体
5,词组,the claims leveled against it,对它提出的种种指控,level 作动词：把（指控、批评）对准某对象，常与 against/at 连用
5,多义,many other evils,许多其他恶行,evil 作可数名词指具体的恶行、弊病，非抽象的邪恶
5,词组,left the near-total obscurity they enjoyed,告别了他们曾享有的近乎无人知晓的状态,obscurity 默默无闻；enjoy 此处指享有（某种状态），含反讽——无人关注反而自在
5,词组,on a regular basis,经常；定期,相当于 regularly；on a … basis 句型的高频搭配
5,术语,front-running,抢跑交易,指利用他人订单信息抢先下单、待对方订单推动价格后获利的行为，属市场操纵指控之一
5,术语,Commodity Trading Advisor,商品交易顾问；实指管理期货基金,以代客交易期货为特征的机构注册类别（简称 CTA），该类别本身并不要求系统化交易
5,难句,"While they correctly categorize Cayler as a Commodity Trading Advisor (CTA, for short, and a type of institution that is distinguished only by its trading of futures on behalf of clients—not by being systematic in so doing), they lump his firm in with trend followers.",虽然他们正确地把 Cayler 归类为商品交易顾问（简称 CTA，这类机构的特征仅在于代客交易期货，而不在于以系统化方式交易），却把他的公司与趋势跟随者混为一谈。,While 让步从句；括号内长插入语解释 CTA，内含 that 定语从句和 only by…not by… 对比；lump…in with… 把…不加区分地归为一类
5,生词,vis-à-vis oil prices,就油价而言,vis-à-vis 法语借词，正式书面语：相对于、关于
6,词组,Leaving aside,撇开…不谈,分词短语作状语，相当于 setting aside、apart from
6,多义,all the ills,所有弊病,ill 作可数名词：弊病、祸害；非形容词生病的
6,术语,algorithmic execution,算法执行,用计算机程序把买卖订单拆分并自动送入电子市场完成的执行方式
6,多义,can be worked using execution algorithms,（订单）被拆单执行,work 本句义：处理、运作（订单），指拆成小单逐步执行；常见义：工作
6,术语,discretionary macro trader,主观宏观交易员,discretionary 主观决策型（依赖人的判断，与系统化相对）；macro 指基于宏观经济判断跨资产类别交易
6,多义,the exclusive domain of,…的专属领地,domain 本句义：专属范围、领域；常见义：域名、领土
6,多义,one footprint of quant strategies,量化策略的一个足迹,footprint 引申义：某事物存在留下的印记、痕迹，非字面脚印
6,多义,algorithmic trading engines,算法交易系统,engine 引申义：软件系统的核心引擎，非发动机
6,词组,A mere five such quant traders,仅仅五家这样的量化交易机构,mere 强调数量之少；a + 数词把数量视为一个整体
6,词组,in aggregate,合计；总共,aggregate 总量；相当于 in total，正式书面语
6,词组,It is worth noting that,值得注意的是,worth + 动名词句型；书面写作常用来引出补充要点
6,多义,after all the press surrounding high-frequency trading,尽管高频交易被媒体大量报道之后,press 本句义：媒体报道（不可数）；常见义：印刷机、按压；surrounding 围绕…的
6,难句,"As of 2017, algorithmic trading—which to be clear, represents only the execution of trades, not whether the determinant of that investment decision came via a human utilizing a trading algorithm or a systematic investing strategy utilizing potentially the same kind of algorithm—accounted for about 70 percent of equity trading, 50 percent of futures trading, 40 percent of options trading, 25 percent of foreign exchange trading, and almost 10 percent of fixed income trading.",截至2017年，算法交易——需要说明，它仅指交易的执行方式，而不论投资决策出自使用交易算法的人，还是出自可能使用同类算法的系统化投资策略——约占股票交易的70%、期货交易的50%、期权交易的40%、外汇交易的25%，以及固定收益交易的近10%。,As of 截至；双破折号间超长插入语，内含 not whether A or B 选择结构；主干是 algorithmic trading accounted for…（account for 占比）；五个百分比并列
6,术语,private investment pools,私募资金池,pool 指汇集多方资金的集合体；对冲基金即面向合格投资者的私募集合投资工具
6,多义,"sophisticated, wealthy individual or institutional clients",经验老到的富裕个人或机构客户,sophisticated 本句义：（投资者）成熟老练、有专业经验；常见义：复杂精密的
6,词组,any investment mandate one can dream up,任何你能想出来的投资授权范围,mandate 授权、委托范围；dream up 凭空想出
6,词组,one of several arenas,几个领域之一,arena 原指竞技场，引申为活动展开的舞台、领域
6,术语,Proprietary trading desks,自营交易部门,proprietary 自有的；指用银行自有资金（而非客户资金）交易的部门
6,术语,multi-strategy,多策略对冲基金,指同一基金内并行运行多种相互独立的策略并统一配置资金的业务模式
6,多义,boutique,小型精品公司,本句义：小而专的精品机构；常见义：时装精品店
6,词组,take their share of headlines,免不了常上头条,take one's share of 承受属于自己的那一份；headlines 指新闻头条报道
6,词组,cast an enormous shadow over,给…投下巨大的影子,cast a shadow over 习语：原指投下阴影，此处指量化的存在感和影响力笼罩整个市场
7,多义,markedly negative,明显地（负面）,markedly 显著地（marked 显著的之副词）；易误认作与 market 相关
7,生词,hallmark,标志；典型特征,原指金银制品的纯度印记，引申为某事物的典型标志
7,词组,regardless of their style,无论其风格如何,regardless of 不论、不顾，后接名词
7,术语,liquidity,流动性,资产能以接近市价快速成交的程度；做市与算法交易被认为提升市场流动性
7,词组,went on to reference,接着又引用了,go on to do 接着做（另一件事）；reference 作动词：引用、提及
7,生词,causal relationship,因果关系,causal 由 cause 派生，易与 casual（随意的）形近混淆
7,多义,slice their orders into many small pieces,把订单切成许多小单,slice 切片；大单拆小以降低对价格的冲击和执行成本
7,术语,inefficiencies,（市场）低效；定价失灵,指价格偏离应有水平形成的可获利机会，源自有效市场概念的反面
7,术语,efficient markets,有效市场,金融经济学概念：价格已充分反映一切可得信息、无法系统性获得超额收益的市场
7,多义,the weighted basket of the constituents,成分股的加权组合,basket 引申义：一篮子资产组合；constituents 此处指指数成分股（常见义：选民、成分）
7,术语,"riskless profit, or arbitrage",套利 / 无风险利润,arbitrage 指利用同一资产不同定价间的差异锁定无风险收益
7,生词,unassailable,无懈可击的,assail 攻击 + -able，un- 否定：无法攻破、驳倒的
7,生词,probabilistic,概率性的,probability 的形容词，指结果只在概率意义上成立、并非每次必然
7,难句,"The main inefficiencies quants eliminate (and, thereby, profit from) are not absolute and unassailable, but rather are probabilistic and require risk-taking.",量化消除（并因此获利于）的那些主要低效并非绝对、稳赚不赔的，而是概率性的，需要承担风险。,quants eliminate 是省略 that 的定语从句；括号内 thereby 插入语；not…but rather… 对比结构
7,术语,statistical arbitrage,统计套利（stat arb）,基于统计规律在大量相关标的间做多空对冲、赚取概率性价差回归收益的策略
7,术语,pairs trade,配对交易,在两只高度相似的股票间一多一空、押注两者价差收敛的经典统计套利形式
7,术语,market capitalizations,市值,股价乘以总股本，衡量公司规模；本书以市值大小区分 large cap 与 small cap
7,词组,For whatever reason,不管出于什么原因,whatever 引导让步性短语，表示原因不重要
7,多义,index funds are tracking,指数基金正在跟踪（的指数）,track 本句义：跟踪复制（指数表现）；常见义：追踪足迹
7,术语,outperform,跑赢；表现优于,out- 前缀表超过，指回报高于比较对象；反义 underperform
7,多义,compelled to buy,不得不买入,compel 强迫；指数基金因须复制指数而被动买入，非主动选择
7,词组,in turn,进而；转而,表示因果链条中的下一环
7,术语,P/E multiple,市盈率倍数,multiple 此处指估值倍数；P/E＝股价除以每股盈利
7,多义,step in to sell,介入卖出,step in 本句义：（第三方）出面介入；常见义：走进来
7,术语,preventing the divergence,防止背离（价差拉大）,divergence 背离＝相似资产价差拉大偏离常态；反义 convergence 收敛＝价差回归，两者是配对交易的两个阶段
8,词组,getting out of hand,失控,out of hand 习语：脱离掌控；get 表渐变过程
8,词组,Let us not be naïve,我们可别天真,否定祈使句 let us not；naïve 天真的（法语借词，带分音符）
8,生词,altruism,利他主义,与 egoism（利己主义）相对；形容词 altruistic
8,多义,the only players,唯一的参与者,player 本句义：市场参与者、玩家；常见义：运动员、演奏者
8,术语,alpha-oriented trader,以阿尔法（超额收益）为目标的交易者,alpha 指独立于市场涨跌的超额收益；-oriented 以…为导向的
8,多义,dislocations,价格错位；定价失衡,本句义：市场定价脱离正常关系；常见义：（关节）脱臼
8,多义,more neglected stocks,更少人关注的股票,neglect 忽视；指分析师覆盖少、流动性差的冷门股
8,术语,efficient price discovery,有效的价格发现,价格发现指市场通过买卖交易不断形成并更新资产合理价格的过程
8,多义,The advantage scientists bring into the game,科学家们给这一行带来的优势,game 引申义：这一行当、竞技场，非字面游戏；bring into 带入
8,语法,less their mathematical or computational skills than their ability to think scientifically,与其说是他们的数学或计算技能，不如说是他们科学思考的能力,less A than B 结构＝与其说 A 不如说 B，语义重心落在 B；A、B 为并列名词短语
8,词组,taken for granted,被想当然；被习以为常,take sth for granted 习语：认为理所当然而不加审视
8,词组,on the part of the developer,就开发者一方而言,on the part of sb＝来自某人一方的（努力、行为）
8,生词,decile,十分位,把样本按大小均分为十组后的每一组；bottom decile 即最低的10%
9,词组,by virtue of the fact that,凭借/由于…这一事实,by virtue of 正式书面语＝借助、因为；后接 that 同位语从句
9,词组,fill in any of these blanks,填补这些空白,fill in the blanks 习语：补全缺失部分；此处指计算机不会替人补上未定义的细节
9,生词,self-evident,不言自明的,evident 明显的；self- 前缀：自身即可证明，无需论证
9,词组,divide and conquer,分而治之,原为军事政治策略，借指把大问题拆成小问题逐个解决
9,多义,benefits largely accrue from thoroughness,好处主要源自（做事）彻底,accrue 本句义：（利益）逐渐产生并累积；金融常见义：应计（利息）
9,多义,generally held to be a key ingredient,被普遍认为是关键要素,hold 本句义：认为、持有（观点）；ingredient 引申义：成功要素，非食材
9,词组,in an ad hoc manner,以临时随意的方式,ad hoc 拉丁语：为当下目的临时安排的、无系统性的
9,难句,"I have been in countless meetings with discretionary traders who, when I asked them how they decided on the sizes of their positions, responded with variations on the theme of, “Whatever seemed reasonable.”",我参加过无数次与主观交易员的会议，当我问他们如何决定仓位大小时，他们的回答五花八门，但主题都是“看着差不多就行”。,who 定语从句内嵌 when 时间状语从句作插入；variations on the theme of… 音乐比喻：同一主题的不同变奏，指答案措辞各异实质相同
9,生词,damnation,谴责；诅咒,damn 的名词；此处指对某种风格的全盘否定，宗教义为罚入地狱
9,词组,by no means,绝不是,否定强调语，相当于 not at all
9,词组,bigger-picture aspects,更宏观层面的方面,big picture 习语：全局；连字符复合词作定语
9,生词,predisposed toward,天生倾向于,pre-（预先）+ disposed（有…倾向的）；指先天或习惯上偏好某行为
9,术语,risk exposure,风险敞口,指组合暴露于某一风险因素的程度，即该因素变动对组合损益的影响幅度
9,词组,On the plus side,好的一面是,plus side 加分面；与 on the other hand 配合引出利弊对照
9,生词,intentionality,有意为之；自觉性,intentional 的名词化：行为出于明确意图而非偶然
9,生词,well-conceived,构思周密的,conceive 构想；与 ill-conceived（欠考虑的）相对
9,多义,exactly what his edge is,他的优势（赚钱本事）究竟是什么,edge 本句义：相对他人的竞争优势；常见义：边缘、刀刃
9,词组,root out these risks,揪出/根除这些风险,root out 习语：连根拔起，引申为找出并清除
9,术语,net dollar or beta exposure,净美元敞口 / 贝塔敞口,净美元敞口＝多头市值减空头市值；贝塔敞口＝组合对大盘涨跌的敏感度
9,词组,trivially small,小到微不足道,trivial 微不足道的；副词修饰 small 强调数量级几乎为零
9,词组,balancing their long portfolios against their short portfolios,用多头组合对冲空头组合,balance A against B 使 A 与 B 相互平衡抵消
9,术语,false precision,虚假精确,指把本不精确的估计表述得貌似精确、从而误导决策的现象
9,多义,plague attempts to measure risk,困扰风险计量工作,plague 本句义：动词困扰、折磨；常见义：名词瘟疫
10,术语,blowups,爆仓；崩盘,blow up 爆炸的名词化；指基金因巨亏而急速垮台的事件
10,词组,stem in one way or another from,都或多或少源于,stem from 源于（stem 原义茎干）；in one way or another 以这样或那样的方式
10,语法,a country of Russia’s importance,一个像俄罗斯这样重要的国家,of + 所有格 + 抽象名词结构作后置定语，相当于 a country as important as Russia
10,术语,defaulted on its debt,债务违约,default on 未能履行（债务、合约）；指1998年俄罗斯国债违约
10,多义,sending the world’s markets into a frenzy,让全球市场陷入疯狂/恐慌,send…into 使进入（某状态）；frenzy 狂乱
10,多义,rendering useless any measurement of risk,使一切风险计量手段全部失效,render + 宾语 + 形容词＝使…变得…；此处形容词提前、宾语后置
10,难句,"But for a rescue orchestrated by the U.S. government and agreed on by most of the powerhouse banks on Wall Street, we would have seen a very different path unfold for the capital markets and all aspects of financial life.",若非美国政府牵头组织、华尔街多数巨头银行同意的那场救助，资本市场乃至整个金融生活都会走上一条截然不同的道路。,But for + 名词＝若非（虚拟条件），主句 would have seen 虚拟完成式；orchestrated 与 agreed on 两个过去分词并列修饰 rescue；see…unfold 看着…展开
10,多义,orchestrated,精心策划/协调的,本句义：像指挥乐队一样统筹安排；orchestra（管弦乐队）的动词引申
10,生词,powerhouse,巨头（银行）,原义发电站，引申为实力雄厚的机构
10,多义,overwhelm markets,席卷/压垮市场,overwhelm 本句义：以压倒之势吞没；也常指（情绪）使人不知所措
10,多义,capture the risks correctly,正确刻画风险,capture 本句义：（模型）捕捉、刻画（现实特征）；常见义：捕获
10,生词,knowingly,明知故犯地,knowing 的副词：清楚后果仍然去做
10,生词,outsized short-term profits,超额的（短期利润）,outsized 超出正常尺寸、规模的
10,多义,mitigated,被缓解,mitigate 减轻（损失、影响），正式书面语
10,难句,"Just as one cannot justifiably blame weather-forecasting models for the way that New Orleans was impacted by Hurricane Katrina in 2005, it would not make sense to blame quantitative risk models for the failures of those who created and use them.",正如你不能因为2005年新奥尔良遭卡特里娜飓风重创而合理地去怪罪天气预报模型，把量化风险模型的使用者和创造者的失败归咎于模型本身也说不通。,"Just as…, it would not make sense to… 类比结构；blame A for B（因B责怪A）出现两次；those who created and use them 定语从句"
10,词组,so long as,只要,条件连词，相当于 as long as
10,多义,seduced into taking ill-advised actions,被诱使采取不明智的行动,seduce 本句义：诱使（做错事）；常见义：勾引；ill-advised 欠考虑的
10,多义,the discipline inherent to their approach,他们方法中内在的纪律性,discipline 本句义：自律、纪律；常见义：学科；inherent to 内在固有的
11,多义,subscribe to the old adage,信奉那句古老的格言,subscribe to 本句义：赞同、信奉；常见义：订阅；adage 格言、谚语
11,词组,Cut losers and ride winners,砍掉亏损头寸，让盈利头寸奔跑,交易格言：losers/winners 指亏损、盈利的头寸；ride 骑乘引申为顺势持有
11,多义,realize losses,兑现亏损,realize 本句义：（卖出）使账面盈亏变现；常见义：意识到；后文 realize gains 即兑现盈利
11,术语,disposition effect,处置效应,行为金融学概念：投资者倾向于过早卖出盈利头寸、迟迟不肯卖出亏损头寸
11,术语,behavioral bias,行为偏差,指人类决策中系统性偏离理性的心理倾向，行为金融学研究对象
11,词组,in accordance with it,依照它（格言）行事,in accordance with 正式书面语＝按照、遵循
11,难句,"This is not because the systematic trader is somehow a better person than the discretionary trader, but rather because the systematic trader is able to make this “rational” decision at a time when there is no pressure, thereby obviating the need to exercise discipline at a time when most people would find it extraordinarily challenging.",这并不是因为系统化交易者比主观交易者人品更好，而是因为他能在毫无压力的时候（提前）做出这个“理性”决定，从而免去了在多数人极难自控的时刻去临场克制的必要。,not because…but rather because… 对比因果；两个 at a time when 定语从句；thereby + 现在分词表结果；obviate the need to do 使…不再必要
11,词组,make it their business,以此为业；把这当作分内事,make it one's business 习语：把某事当作自己的本职、责任
11,多义,traffic in multiple asset classes,从事多个资产类别的交易,traffic 本句义：动词，从事…买卖（traffic in）；常见义：交通
11,多义,this niche,这个细分领域,niche 本句义：专门细分市场；原义壁龛（放雕像的墙洞）
11,多义,any curious investor,任何爱刨根问底的投资者,curious 本句义：求知欲强的；另一常见义：古怪的
11,词组,would be well served to,不妨；最好,be well served to do＝这样做对自己有利，委婉建议句式
11,生词,proclivity to measure risk,衡量风险的癖好/倾向,proclivity 正式书面语：（行为上的）癖性、倾向，常接 to/for
11,多义,undergone with great care,（这项活动须）谨慎为之,undergo 本句义：进行、开展（活动）；常见义：经历（手术、变化）
11,生词,exemplifies,是…的典范；集中体现,example 的动词化：作为典型例子体现某特质
13,多义,conjures up images of,让人联想到…的画面,conjure up 本句义：在脑海中唤起；原义变魔术凭空变出
13,文化,Rube Goldberg device,鲁布·戈德堡机械,美国漫画家 Rube Goldberg 笔下用极繁琐迂回的连锁装置完成极简单任务的机器，喻把简单事情复杂化
13,生词,wherein,在其中,正式书面语关系副词＝in which，引导定语从句
13,多义,some simple input is rigorously tortured,简单的输入被“严刑拷打”一番,torture 此处拟人比喻：数据被反复折腾加工；rigorously 严格彻底地
13,生词,roundabout means,迂回的手段,roundabout 绕弯子的、不直接的；英式英语中另指环岛
13,生词,verbiage,措辞；冗词,正式书面语：说法、用语，常含冗长啰嗦的贬义
13,多义,Didn’t Add Up,公式“对不上账”了,add up 本句义：（数字、道理）合得拢、说得通；常见义：加总
13,术语,anomalies,（市场）异象；异常规律,anomaly 指偏离理论预期、可供获利的统计规律，学术金融高频词
13,词组,Perhaps most revealing,或许最能说明问题的是,revealing 有揭示性的；形容词短语作句首评注语
13,生词,renowned,著名的,renown（名望）的形容词，比 famous 正式
13,术语,endowment fund,（大学）捐赠基金,高校等机构以受赠资金设立的永续投资基金，耶鲁捐赠基金为著名案例
14,生词,moniker,名称；绰号,非正式书面语：某人或某物的名号
14,生词,a sci-fi serial,一部科幻连续剧,serial 名词：连载、连续剧；易与 series（系列）及 cereal（麦片）混淆
14,多义,The program was about,这部节目讲的是,program 本句义：电视、广播节目；常见义：程序、计划
14,生词,connotation of opaqueness,不透明的联想义,connotation 内涵义、联想义（与 denotation 字面义相对）；opaque 不透明的
14,词组,persists today,延续至今,persist 持续存在；指这一含义沿用至今
14,词组,inner workings,内部运作机制,workings 复数名词：运转方式；黑箱定义的核心表述
14,生词,secretive,神秘兮兮的；讳莫如深的,指刻意隐瞒不肯透露的作风；与 secret（秘密的）区别：secretive 形容人或机构
14,生词,the caprice inherent to most human decision making,多数人类决策中固有的反复无常,caprice 突发奇想、任性无常；形容词 capricious
14,生词,esoteric-sounding,听起来高深莫测的,esoteric 只有内行才懂的、深奥的；-sounding 复合：听上去…的
14,多义,similar instruments,相似的金融工具/标的,instrument 本句义：金融工具（股票、期货等）；常见义：仪器、乐器
14,词组,over the short run,在短期内,run 引申义：一段时期；与 over the long run 相对
