page,type,raw,translation,note
7,生词,unassailable,无懈可击的,assail=攻击→un-assail-able 无法攻击的；⚠注意别误读成其他形近词
7,生词,probabilistic,概率性的,
7,难句,"The main inefficiencies quants eliminate (and, thereby, profit from) are not absolute and unassailable, but rather are probabilistic and require risk taking.",量化消除（并因此获利于）的那些主要低效并非绝对、稳赚不赔的，而是概率性的，需要承担风险。,inefficiencies [that] quants eliminate 省略了that；thereby = 由此
7,术语,statistical arbitrage (stat arb),统计套利,基于统计规律（而非无风险套利）赚取价差收敛的策略
7,术语,pairs trade,配对交易,"做多做空一对""相似""股票，赌价差收敛；选相似标的（如埃克森vs雪佛龙），不是赌谁好谁坏"
7,术语,market capitalization,市值,= 股价×总股本
7,词组,for whatever reason,不管出于什么原因,
7,多义,index funds are tracking,指数基金正在跟踪（的指数）,track = 跟踪复制指数
7,术语,outperform,跑赢；表现优于,反义 underperform 跑输
7,词组,in turn,进而；转而,表因果链条的下一环
7,术语,P/E multiple,市盈率倍数,P/E = price-to-earnings 股价/每股盈利
7,多义,which are compelled to buy,（指数基金）不得不买入,compel = 迫使；被动=被迫
7,多义,step in to sell,介入卖出,step in = 出手干预
7,术语,divergence / convergence,背离（价差拉大）/ 收敛（价差回归）,配对交易核心词对，全书反复出现
7,词组,getting out of hand,失控,
7,词组,let us not be naïve,我们可别天真,
7,生词,altruism,利他主义,not out of altruism = 不是出于好心
8,多义,the only players,唯一的参与者/玩家,player = 市场参与机构
8,术语,alpha-oriented trader,以阿尔法（超额收益）为目标的交易者,alpha = 独立于市场涨跌的超额收益，全书核心概念
8,多义,dislocations,价格错位；定价失衡,"本义""脱臼""；金融义=价格暂时偏离合理水平"
8,多义,more neglected stocks,更少人关注的股票,neglected = 被忽视的→冷门的
8,多义,the advantage scientists bring into the game,科学家们给这一行带来的优势,game = 这个行业/这场游戏
8,词组,taken for granted,被想当然；被习以为常,take sth for granted = 认为理所当然而不深究
8,词组,on the part of the developer,就开发者一方而言,on the part of sb = 某人一方的
8,生词,decile,十分位,统计术语：分成10组；bottom decile = 最低的10%
9,词组,by virtue of the fact that,凭借/由于…这一事实,by virtue of = 凭借
9,词组,fill in the blanks,填补空白,电脑不会自己补全你没定义的东西
9,生词,self-evident,不言自明的,
9,词组,divide and conquer,分而治之,算法/管理常用语
9,多义,benefits largely accrue from thoroughness,好处主要源自（做事）彻底,accrue from = 累积产生于
9,多义,generally held to be a key ingredient,被普遍认为是关键要素,"hold 此处=认为（be held to be = 被认为是），不是""拿着"""
9,词组,in an ad hoc manner,以临时随意的方式,ad hoc（拉丁语）= 临时的、就事论事的、无章法的
9,难句,"I have been in countless meetings with discretionary traders who, when I asked them how they decided on the sizes of their positions, responded with variations on the theme of 'Whatever seemed reasonable.'","我参加过无数次与主观交易员的会议，当我问他们如何决定仓位大小时，他们的回答五花八门，但主题都是""看着差不多就行""。",variations on the theme of X = 围绕X主题的各种变体（音乐比喻）；插入语 when I asked... 先跳过
9,生词,damnation,谴责；诅咒,this is by no means a damnation of... = 这绝不是在全盘否定…
9,词组,by no means,绝不是,
9,词组,bigger-picture aspects,更宏观层面的方面,big picture = 大局
9,生词,predisposed toward,天生倾向于,pre-(预先)+disposed(倾向)
9,术语,risk exposure,风险敞口,"exposure 全书高频：暴露在某风险下的程度，""敞口"""
9,词组,on the plus side / on the other hand,好的一面是 / 另一方面,
9,生词,intentionality,有意为之；自觉性,"承担风险是""有意选择的""而非偶然的"
9,生词,well-conceived,构思周密的,conceive = 构想
9,多义,exactly what his edge is,他的优势（赚钱本事）究竟是什么,"edge = 交易术语""优势/胜算来源""，全书高频，不是""边缘"""
9,词组,root out these risks,揪出/根除这些风险,
9,术语,net dollar / beta exposure,净美元敞口 / 贝塔敞口,衡量组合对大盘方向的暴露程度的两种常用口径
9,词组,trivially small,小到微不足道,trivial = 琐碎的
9,词组,balancing long portfolios against short portfolios,用多头组合对冲空头组合,即多空平衡（市场中性）
9,术语,false precision,虚假精确,数字看着精确其实不可靠
9,多义,concerns that can plague attempts to measure risk,困扰风险计量工作的种种问题,plague 名词=瘟疫；动词=困扰
9,术语,blowups,爆仓；崩盘,口语：基金巨亏出事
9,词组,stem from,源于,
10,语法,a country of Russia's importance,一个像俄罗斯这样重要的国家,of + 名词所有格 + 抽象名词 = 具有…程度的
10,术语,defaulted on its debt,债务违约,⚠default 多义：金融=违约；计算机=默认值
10,多义,sending the world's markets into a frenzy,让全球市场陷入疯狂/恐慌,send sb into X = 使陷入某状态；frenzy = 狂乱
10,多义,rendering useless any measurement of risk,使一切风险计量手段全部失效,"render + 宾语 + 形容词 = 使…变得；不是""渲染"""
10,难句,"But for a rescue orchestrated by the U.S. government and agreed on by most of the powerhouse banks on Wall Street, we would have seen a very different path unfold for the capital markets and all aspects of financial life.",若非美国政府牵头组织、华尔街多数巨头银行同意的那场救助，资本市场乃至整个金融生活都会走上一条截然不同的道路。,"but for + would have done = 虚拟语气""要不是…早就…""，本书多次出现的结构"
10,多义,orchestrated,精心策划/协调的,orchestra 管弦乐团→像指挥乐团一样统筹
10,生词,powerhouse (banks),巨头（银行）,powerhouse = 实力强大的机构
10,多义,see a different path unfold,看到一条不同的道路展开,unfold = （事态）展开/上演
10,多义,overwhelm markets,席卷/压垮市场,
10,多义,capture the risks correctly,正确刻画风险,"capture 此处=（模型）捕捉/刻画，不是""俘虏"""
10,生词,knowingly,明知故犯地,they seem to have done so knowingly = 他们似乎是故意的
10,生词,outsized (short-term profits),超额的（短期利润）,outsized = 超出正常规模的
10,多义,mitigated,被缓解,mitigate = 减轻
10,难句,"Just as one cannot justifiably blame weather-forecasting models for the way that New Orleans was impacted by Hurricane Katrina in 2005, it would not make sense to blame quantitative risk models for the failures of those who created and use them.",正如你不能因为2005年新奥尔良遭卡特里娜飓风重创而合理地去怪罪天气预报模型，把量化风险模型的使用者和创造者的失败归咎于模型本身也说不通。,Just as A
10,词组,so long as,只要,= as long as
10,多义,seduced into taking ill-advised actions,被诱使采取不明智的行动,seduce = 引诱；ill-advised = 欠考虑的
10,多义,the discipline inherent to their approach,他们方法中内在的纪律性,"inherent = 内在固有的；discipline 此处=纪律（不是""学科""）"
10,多义,subscribe to the old trading adage,信奉那句古老的交易格言,"subscribe to = 认同/信奉，不是""订阅""！"
10,生词,adage,格言；谚语,
10,词组,Cut losers and ride winners,砍掉亏损头寸，让盈利头寸奔跑,著名交易谚语；loser/winner 指亏钱/赚钱的头寸
10,多义,realize losses / realize gains,兑现亏损 / 兑现盈利,"realize 此处=（卖出）实现盈亏，不是""意识到""！行为金融高频"
10,术语,disposition effect,处置效应,行为偏差：人倾向过早卖出盈利股、死拿亏损股
10,术语,behavioral bias,行为偏差,行为金融核心概念
11,词组,in accordance with it,依照它（格言）行事,
11,难句,"...the systematic trader is able to make this rational decision at a time when there is no pressure, thereby obviating the need to exercise discipline at a time when most people would find it extraordinarily challenging.","系统化交易者能在毫无压力的时候（提前）做出这个理性决定，从而免去了在多数人极难自控的时刻去""临场克制""的必要。",obviate the need to = 使…不再必要；exercise discipline = 施展自制力（exercise多义：行使/锻炼）
11,词组,make it their business,以此为业；把这当作分内事,those who make it their business = 以纪律为生的人（量化）
11,多义,traffic in multiple asset classes,从事多个资产类别的交易,"traffic 作动词=买卖/交易（常带贬义如贩卖，此处中性），不是""交通""！"
11,多义,this niche,这个细分领域,niche = 利基/细分市场
11,词组,would be well served to,不妨；最好,be well served to do = 这样做对自己有好处
11,生词,proclivity to measure risk,衡量风险的癖好/倾向,proclivity = 倾向
11,词组,undergone with great care,（这项活动须）谨慎为之,undergo = 经历/进行
11,生词,exemplifies,是…的典范；集中体现,example 的动词形态
13,多义,conjures up images of,让人联想到…的画面,"conjure 本义""变魔术""；conjure up = 唤起（形象）"
13,文化,Rube Goldberg device,鲁布·戈德堡机械,"美国文化梗：用极其复杂迂回的装置完成一件极简单的事；作者用它讽刺大众对""黑箱""的想象"
13,多义,some simple input is rigorously tortured,"简单的输入被""严刑拷打""一番",torture 拟人幽默：数据被反复折腾
13,生词,roundabout means,迂回的手段,roundabout = 绕弯子的
13,术语,anomalies,（市场）异象；异常规律,量化术语：可利用的统计规律
13,词组,perhaps most revealing,或许最能说明问题的是,revealing = 有启示性的
13,生词,renowned,著名的,
13,术语,endowment fund,（大学）捐赠基金,耶鲁捐赠基金=机构投资标杆
13,多义,Formulas Didn't Add Up,"公式""对不上账""了",add up = 说得通/算得对；双关：数学公式+说不通
14,多义,a sci-fi serial,科幻连续剧,serial 名词=连续剧；⚠形近：cereal 麦片
14,多义,the program was about,这部节目讲的是,"program 此处=电视节目，不是""程序"""
14,生词,connotation of opaqueness,不透明的联想义,connotation = 内涵/引申联想；opaque 不透明→opaqueness
14,词组,persists today,延续至今,persist = 持续存在
14,词组,inner workings,内部运作机制,
14,生词,secretive,神秘兮兮的；讳莫如深的,"与 complex 并列的两大""量化标签"""
14,生词,the caprice inherent to human decision making,人类决策中固有的反复无常,"caprice = 任性/无常；对比：量化反而是""透明盒子"""
14,生词,esoteric-sounding,听起来高深莫测的,esoteric = 只有内行懂的
14,多义,similar instruments,相似的金融工具/标的,"instrument 金融语境=交易标的（股票债券等），不是""乐器/仪器""！全书高频"
14,词组,over the short run,在短期内,= in the short run
14,多义,that would warrant a divergence in prices,足以让价格背离显得合理的（基本面变化）,"warrant 动词=使有正当理由；名词另义""权证"""
14,生词,premise,前提,a clear and straightforward premise = 清晰直白的前提
14,词组,it happens to be,它恰好是,happen to = 碰巧
14,多义,a curious investor,一个爱刨根问底的投资者,curious = 好奇的（此处指想搞明白的LP）
14,生词,coherent framework,自洽的框架,coherent = 逻辑连贯的
14,多义,what constitutes a divergence,什么才算构成一次背离,constitute = 构成
14,多义,can address in great detail,能够详细解答,"address 动词=处理/回答（问题），不是""地址""！"
14,术语,alpha-seeking,追求阿尔法（超额收益）的,书中对 quant 的定义核心
14,词组,exhaustive research,详尽彻底的研究,exhaustive = 穷尽式的；⚠≠exhausting（令人疲惫的）
15,多义,to structure exotic products,设计/构建复杂衍生品,"structure 作动词=做结构化设计；exotic 金融义=奇异/另类的（复杂衍生品），不是""异国风情"""
15,术语,asset-backed securities,资产支持证券（ABS）,把贷款打包成的证券
15,术语,credit default swaps,信用违约互换（CDS）,对赌违约风险的衍生品
15,词组,the system goes live,系统上线,go live = 正式投入运行（IT用语）
15,多义,human discretion,人的自主判断,"discretion 此处=裁量权/判断权；另一义""谨慎""；与 discretionary 同根"
15,多义,should not be understated,不应被轻描淡写,understate = 淡化表述；⚠≠underestimate（低估）
15,多义,separates the best quants from the mediocre,把顶尖量化和平庸之辈区分开来,mediocre = 平庸的（此处作名词用）
15,词组,above all else,最重要的是,
15,多义,the computer faithfully implements exactly what it was told to do,计算机忠实地执行你告诉它的一切,"faithfully = 一字不差地；好坏判断都会被""放大执行"""
15,难句,"As such, good and bad judgments are multiplied over and over through time as the computer faithfully implements exactly what it was told to do.",因此，随着计算机忠实执行人给它的指令，好的和坏的判断都会随时间被一遍遍放大。,as such = 因此；multiply = 成倍放大；第二个as=随着
15,词组,the frontiers of the systematic approach,系统化方法的边界,frontier = 边界/前沿：即什么时候量化会放弃系统改用人判断
15,多义,caused Merrill's price to skyrocket,导致美林股价飙升,skyrocket 动词=火箭般飙升
15,难句,...might have led a naïve quant strategy to draw the conclusion that Merrill had suddenly become drastically overpriced relative to other banks and was therefore an attractive candidate to be sold short.,"（这次并购）可能会让一个""天真的""量化策略得出结论：美林相对其他银行突然被严重高估，因此是个诱人的做空对象。",candidate = 候选对象（不只指候选人）；sold short = 被做空
15,词组,"garbage in, garbage out",垃圾进，垃圾出,计算机名言：输入是垃圾，输出必是垃圾
16,术语,override the system,人工推翻/干预系统,override = 手动覆盖系统决定；量化风控高频词
16,生词,preemptively,先发制人地；预防性地,preempt = 抢先行动
16,多义,pulling names off the list of tradable securities,把一些股票从可交易名单中撤下,"⚠names = 交易行话""个股/标的""！不是名字；全书多次出现"
16,词组,at the first sign of credible rumors,一有可信传闻的苗头就…,at the first sign of = 一出现…的迹象
16,词组,reserve the right to,保留…的权利,
16,词组,in the wake of,紧随…之后；在…之后,"wake 本义""船尾的浪迹""；in the wake of 9/11 = 911之后"
16,生词,unknowable repercussions,无法预知的连锁后果,repercussion = 涟漪般的后果
16,术语,fully discretionary vs fully systematic,全主观 vs 全系统化,本节核心对比：量化的定义标准
16,多义,the selection and sizing of portfolio positions,持仓标的的选择与仓位大小的确定,sizing = 决定仓位大小（size 动词化）
16,术语,standard operating procedure,标准操作流程（SOP）,
16,语法,"If both of the questions of what positions to own and how much of each to own are usually answered systematically, that's a quant.","如果""持有什么头寸""和""每个持有多少""这两个问题通常都由系统回答，那就是量化。",判定标准句：what to own + how much = 双问题检验法
16,生词,quasi-quant,准量化；类量化,quasi- 前缀=准/半/类
16,多义,systems to screen for investment opportunities,用系统筛选投资机会,"screen 动词=筛选，不是""屏幕""！"
16,生词,winnowing a large number of choices down to a smaller list,把大量候选筛减到一个小名单,"winnow 本义""扬谷去糠""→筛选"
16,词组,human discretion kicks in,人的判断开始介入,kick in = 开始起作用（口语高频）
16,多义,leave the sourcing of trades entirely up to humans,把交易机会的发掘完全交给人,sourcing = 寻找/发掘来源；up to sb = 由某人决定
16,词组,allocate among these trades,在这些交易之间分配（资金）,allocate = 配置
16,多义,a subset of the tools in a proper quant's toolbox,正牌量化工具箱里工具的一个子集,proper = 正经的/严格意义上的（英式口语义）；subset = 子集
17,生词,a schematic of a typical quantitative trading system,示意图；结构简图,"名词=示意图；形容词义为""概要的"""
17,生词,This diagram portrays the components of a live trading strategy,描绘；呈现,portrait（肖像）的动词形态
17,多义,"a live, ""production"" trading strategy",实盘运行的（策略）,"IT用语：production=生产环境/正式上线运行，与测试研发环境相对；不是""生产制造"""
17,词组,create the strategy in the first place,当初；一开始（从零做起）,"常置句尾，表""最初/根本上"""
17,术语,an alpha model,阿尔法模型,量化系统核心模块：预测标的未来走势、负责赚钱
17,术语,portfolio construction model,组合构建模型,权衡收益、风险、交易成本三者，决定目标持仓
17,术语,execution model,执行模型,把目标持仓与当前持仓的差额以高效低成本方式成交
17,术语,transaction cost model,交易成本模型,估算从当前组合调整到新组合所需交易的成本
17,词组,too many forecasts he follows could line up in the same direction,（多个信号）方向趋同；排成一线,line up=排队→一致指向同一方向，导致风险集中
17,多义,whatever trades are needed to migrate from the current portfolio,（持仓）迁移；调仓,本义鸟类迁徙；此处指从旧组合换到新组合
17,难句,"The transaction cost model, which is shown in the box to the right of the risk model in Exhibit 2.1, is used to help determine the cost of whatever trades are needed to migrate from the current portfolio to whatever new portfolio is desirable to the portfolio construction model.",交易成本模型（图2.1中位于风险模型右侧的方框）用于估算这样一批交易的成本：即从当前组合迁移到组合构建模型认为理想的任何新组合所需的交易。,which插入语先跳过；两个whatever引导名词性从句=任何…的；desirable to sb=在某方看来可取的
18,术语,balances the trade-offs presented by the pursuit of profits,权衡；取舍,一方多则另一方少的两难选择；组合优化核心词
18,多义,the new target portfolio weights,（组合中各标的的）权重,"仓位占比，不是""重量"""
18,术语,Buy to Cover 5%,买入平空仓,先前做空后买回还券的平仓操作；对应 sell short=卖空开仓
18,术语,German 10-Year Bunds,德国联邦政府国债,"Bund（德语""联邦""）=德国国债，欧洲利率基准"
18,生词,create more recursive connections among the pieces,递归的；相互回馈的,计算机术语：输出再反馈回输入
18,多义,the various discrete functions within a quant trading system,各自独立的；分立的,⚠形近词：discrete 分立的 ≠ discreet 谨慎的
18,多义,the dynamics of the liquidity in the markets,（流动性的）动态变化规律,"dynamics=动态/演变机制，不只是""动力学"""
18,生词,whatever risk requirements and constraints,约束条件,优化术语：模型必须满足的限制
18,语法,"Having made this determination, the system can compare the current portfolio to the new target portfolio",做出这一决定之后，系统就可以将当前组合与新目标组合进行比较,"Having done=完成式分词作状语，表""在…之后""，逻辑主语=主句主语"
18,难句,"The alpha, risk, and transaction cost models then feed into a portfolio construction model, which balances the trade-offs presented by the pursuit of profits, the limiting of risk, and the costs associated with trading, thereby determining the best portfolio to hold.",阿尔法、风险、交易成本三个模型随后汇入组合构建模型，由它在追逐利润、限制风险与交易成本三者之间做权衡，从而确定最优持仓组合。,feed into=输入/汇入；the pursuit of / the limiting of=动作名词化三项并列；thereby doing=由此…
19,生词,Black boxes are inert and useless without data,无生命的；不会动的,"化学""惰性""→引申""死物一件"""
19,词组,data are the lifeblood of quants,命脉,life+blood：赖以生存之物
19,生词,the quant can ascertain whether and how a quant strategy works,查明；确定,"as+certain：弄""确定""；正式用语"
19,生词,"rather than using anecdotal, experiential evidence",传闻性的；轶事性的,anecdote（轶事）→道听途说、非系统的证据；experiential=凭个人经验的
19,词组,Once quants have arrived at a satisfactory strategy,得出；敲定（结论、策略）,arrive at a conclusion/strategy=经过研究过程后达成
19,难句,"They tend to start with ideas that any reasonable observer of the markets might also have, but rather than using anecdotal, experiential evidence—or worse, simply assuming that their ideas are true—quants use market data to feed a research process to determine whether their ideas in fact hold true over time.",他们起步时的想法往往任何理智的市场观察者都可能有，但量化交易者不是靠道听途说的经验证据——或者更糟、干脆假定想法为真——而是用市场数据驱动一套研究流程，检验这些想法是否真的长期成立。,rather than doing ... quants use ...=不是…而是…；两个破折号之间为插入语，先跳过读主干
20,词组,These systems take the emotion out of investing,把情绪因素从（投资中）剔除,take X out of Y=从Y中去掉X
20,多义,impose a disciplined implementation of the idea,强制推行；强加,"此处=铁面执行；不只是""施加（惩罚）"""
20,词组,"Humans also tend to control a ""panic button""",紧急干预按钮,市场异常时人工暂停系统的机制；hit the panic button 另指惊慌失措
20,多义,behaving in some way that is outside the scope of their models' capabilities,（能力、讨论的）范围,outside the scope of=超出…范围
20,多义,we contend that there are many other parts that deserve to be understood,主张；认为,此处=坚持提出论点；另一常见义 contend with=对付、抗争
20,术语,determine the correct turnover rate for a strategy,换手率,一段时间内组合买卖更替的频率
20,词组,we have begun to shed light on the black box,阐明；揭示,往暗处投光→使真相显现
20,词组,"From afar, we have begun to shed light on the black box",从远处；隔着距离,"afar=远方（文语）；呼应""至此只是远观"""
20,生词,we will dissect each of these modules,解剖；逐一剖析,dis+sect（切）：像解剖一样拆开分析
20,词组,making our way methodically through the inside of the black box,逐步深入；穿行,methodically=有条不紊地
23,文化,"Prediction is very difficult, especially about the future.",预测非常难，尤其是预测未来。,章首题词：物理学家玻尔（Niels Bohr）的著名幽默名言
23,多义,Having surveyed it from the outside,纵览；考察,"此处动词=从外部整体观察，不是""问卷调查"""
23,词组,"Alpha, the spelled-out version of the Greek letter α",完整拼写出（的形式）,"spell out=逐字母写全→引申""详细说明、讲清楚"""
23,术语,her respective benchmark is up 10 percent,业绩基准（指数）,衡量超额收益的参照指数；respective=各自对应的
23,词组,a quick back-of-the-envelope analysis,粗略估算,在信封背面随手演算→不求精确的快速计算
23,生词,The flaw with this approach to computing alpha,缺陷；漏洞,flawed=有缺陷的；⚠形近：flaw 缺陷 ≠ flow 流动
23,多义,making skill the dominant driver of the difference between her returns and the benchmark's,主要驱动因素,"财经高频：业绩/差异的推动因素，不是""司机"""
23,多义,the return she delivers independently of the moves in the broader market,交出（业绩）；实现,"deliver returns=拿出成绩，不是""递送"""
23,难句,"By conventional definition, alpha is the portion of the investor's return not due to the market benchmark, or, in other words, the value added (or lost) solely because of the manager.",按传统定义，阿尔法是投资者收益中不归因于市场基准的那部分，换言之，是纯粹因基金经理个人而增加（或损失）的价值。,"not due to 后置修饰 return；or, in other words 为插入语引出同义改述；value added=增加值（过去分词后置）"
24,词组,"if a stock is always cheap, it is almost certainly not worth owning in perpetuity",永久地；无限期地,in perpetuity=永远；同段 perpetually shorting=永远做空
24,术语,its valuation never improves for the investor,估值,undervalued/overvalued/fairly valued=低估/高估/估值合理
24,术语,TYPES OF ALPHA MODELS: THEORY-DRIVEN AND DATA-DRIVEN,理论驱动与数据驱动,量化两大流派：理论驱动先有经济学假说再用数据检验；数据驱动直接从数据中挖可重复的模式
24,词组,after allowing for being wrong at least sometimes and for the cost of trading,把…考虑在内；为…留出余地,"不是""允许""；=预先计入（出错率、成本）"
